customer_geo_code,store_geo_code,store_option_id,baseline_turnover,baseline_drive_time,alpha,beta
60880101,60880501,1,3435138.66286,3.5824,1,1.0
60880102,60880501,1,3638949.22785,3.3884,1,1.0
60880103,60880501,1,4536800.36837,2.7706,1,1.0
60880201,60880501,1,6107295.91225,1.9998,1,1.0
60880202,60880501,1,4608370.29428,2.6202,1,1.0
60880203,60880501,1,6335037.34512,2.0954,1,1.0
60880204,60880501,1,5451301.351,1.5636,1,1.0
60880205,60880501,1,4962996.61694,1.3748,1,1.0
60880206,60880501,1,6984300.80245,1.8854,1,1.0
60880301,60880501,1,5500125.82459,1.3564,1,1.0
60880302,60880501,1,6552627.33946,0.8264,1,1.0
60880303,60880501,1,5574720.62333,1.13,1,1.0
60880304,60880501,1,8475957.18793,0.8616,1,1.0
60880305,60880501,1,8224608.10513,0.8136,1,1.0
60880401,60880501,1,3322917.61155,3.764,1,1.0
60880402,60880501,1,3326757.1019,2.0088,1,1.0
60880403,60880501,1,5057610.39467,1.8268,1,1.0
60880404,60880501,1,3150190.32514,1.0222,1,1.0
60880501,60880501,1,11098145.344,0.0,1,1.0
60880502,60880501,1,9401343.17899,0.8418,1,1.0
60880503,60880501,1,5857806.07258,1.1458,1,1.0
60880504,60880501,1,9506483.47803,1.5168,1,1.0
60880505,60880501,1,5996996.34583,1.5738,1,1.0
60880506,60880501,1,5768824.02375,2.0718,1,1.0
60880507,60880501,1,6116826.58147,2.4698,1,1.0
60880508,60880501,1,5809881.07317,2.936,1,1.0
60880509,60880501,1,3964476.36498,3.6488,1,1.0
60880601,60880501,1,7943351.38467,2.0784,1,1.0
60880602,60880501,1,2704847.47534,2.6206,1,1.0
60880603,60880501,1,7562203.78299,3.487,1,1.0
60880604,60880501,1,6699033.20385,3.4226,1,1.0
60880605,60880501,1,2324730.58937,4.8276,1,1.0
60880701,60880501,1,4746538.11085,2.856,1,1.0
60880702,60880501,1,7592460.14198,4.9554,1,1.0
60880801,60880501,1,2776468.37519,3.4498,1,1.0
60880901,60880501,1,4507761.9775,6.3792,1,0.917248
60880902,60880501,1,4212256.23338,6.799,1,0.89206
60880903,60880501,1,1761797.71262,9.1504,1,0.750976
60880904,60880501,1,1988426.11772,6.9592,1,0.882448
60880905,60880501,1,3393866.6511,7.5776,1,0.845344
60881001,60880501,1,3814062.6761,3.9358,1,1.0
60881002,60880501,1,3642231.94215,4.5452,1,1.0
60881003,60880501,1,2743725.07042,5.3996,1,0.976024
60881004,60880501,1,5913363.34251,4.9004,1,1.0
60881005,60880501,1,4803225.22007,6.1702,1,0.929788
60881101,60883701,1,7609696.01468,5.3856,1,0.976864
60881102,60883701,1,7046060.9814,4.9828,1,1.0
60881103,60883701,1,5045407.09767,4.743,1,1.0
60881104,60883701,1,3756824.60214,4.0656,1,1.0
60881105,60883701,1,4276751.28667,4.703,1,1.0
60881201,60883701,1,5550121.47899,2.912,1,1.0
60881202,60883701,1,2990373.2136,3.134,1,1.0
60881203,60883701,1,4227870.29237,2.5202,1,1.0
60881204,60883701,1,8097874.74498,1.6892,1,1.0
60881301,60883701,1,4954264.89578,4.8812,1,1.0
60881302,60883701,1,5903918.51358,4.765,1,1.0
60881303,60883701,1,4918109.92622,4.2758,1,1.0
60881304,60883701,1,4237514.97676,3.6402,1,1.0
60881305,60883701,1,6103626.26527,3.7614,1,1.0
60881306,60883701,1,3817889.33254,4.6556,1,1.0
60881307,60883701,1,4547161.43791,3.2494,1,1.0
60881308,60883701,1,4419676.13975,2.3076,1,1.0
60881309,60883701,1,5098910.53704,3.5208,1,1.0
60881401,60883701,1,5052442.69985,5.5774,1,0.965356
60881402,60880501,1,5053436.54468,5.7158,1,0.957052
60881403,60883701,1,4639519.11192,5.7022,1,0.957868
60881404,60883701,1,3147135.5552,5.6624,1,0.960256
60881501,60880501,1,4187569.41716,4.2026,1,1.0
60881502,60880501,1,4798447.17305,4.516,1,1.0
60881503,60880501,1,5009958.92868,4.7176,1,1.0
60881504,60880501,1,4307057.95626,5.1894,1,0.988636
60881505,60880501,1,4821118.70117,5.4728,1,0.971632
60881506,60880501,1,4649478.63324,5.035,1,0.9979
60881601,60880501,1,4605321.67568,2.828,1,1.0
60881602,60880501,1,4844870.75836,1.8596,1,1.0
60881603,60880501,1,6627665.42128,2.7324,1,1.0
60881604,60880501,1,5816011.99971,3.162,1,1.0
60881605,60880501,1,3838021.8686,3.875,1,1.0
60881606,60880501,1,4887605.82401,4.22,1,1.0
60881701,60880501,1,4327318.98436,3.0516,1,1.0
60881702,60880501,1,4979364.48631,2.7664,1,1.0
60881703,60880501,1,4512239.64888,3.7196,1,1.0
60881704,60880501,1,4591371.89332,3.5942,1,1.0
60881705,60880501,1,5019110.25994,3.562,1,1.0
60881801,60880501,1,145069.552736,5.1762,1,0.989428
60881802,60880501,1,5958500.35672,5.469,1,0.97186
60881803,60880501,1,4240101.35827,4.747,1,1.0
60881804,60880501,1,5146573.36663,5.1912,1,0.988528
60881805,60880501,1,5099207.38827,5.316,1,0.98104
60881901,60880501,1,4795753.99028,6.2514,1,0.924916
60881902,60880501,1,3636557.88882,6.3342,1,0.919948
60881903,60880501,1,5326922.4061,6.1898,1,0.928612
60882001,60883701,1,3082459.54644,6.7968,1,0.892192
60882002,60880501,1,2809606.18012,7.3424,1,0.859456
60882101,60882902,1,4083976.45705,6.6944,1,0.898336
60882102,60882902,1,5354184.50284,7.445,1,0.8533
60882103,60882902,1,4491431.62259,6.656,1,0.90064
60882104,60882902,1,2403426.72692,7.8136,1,0.831184
60882201,60880501,1,2355567.47477,4.5358,1,1.0
60882202,60880501,1,6851924.67189,4.3908,1,1.0
60882203,60880501,1,5717870.70179,3.8246,1,1.0
60882301,60880501,1,3095586.6758,5.4442,1,0.973348
60882302,60880501,1,4266531.30428,5.4288,1,0.974272
60882303,60880501,1,4680863.69607,5.4486,1,0.973084
60882304,60880501,1,6482313.76372,4.9202,1,1.0
60882401,60880501,1,3756561.9578,5.6032,1,0.963808
60882402,60880501,1,5657377.95273,5.5404,1,0.967576
60882501,60880501,1,4224570.69651,6.6548,1,0.900712
60882502,60880501,1,5213945.67058,6.7532,1,0.894808
60882503,60880501,1,4075740.81684,6.4882,1,0.910708
60882504,60880501,1,6264802.43129,6.2562,1,0.924628
60882601,60882902,1,3042696.31196,6.5878,1,0.904732
60882602,60882902,1,2869576.71187,7.7072,1,0.837568
60882603,60880501,1,3376402.09187,7.3722,1,0.857668
60882701,60882902,1,3658735.37015,5.0422,1,0.997468
60882702,60882902,1,3901571.43726,4.508,1,1.0
60882703,60882902,1,3439633.77577,5.9092,1,0.945448
60882704,60882902,1,5783854.24497,3.7604,1,1.0
60882705,60882902,1,3660849.11425,5.0154,1,0.999076
60882801,60882902,1,6547128.17324,3.6442,1,1.0
60882802,60882902,1,8299410.17869,1.5174,1,1.0
60882803,60882902,1,6533119.95889,2.971,1,1.0
60882804,60882902,1,5513705.56135,3.0766,1,1.0
60882805,60882902,1,5814183.6404,2.3986,1,1.0
60882901,60882902,1,3906401.75522,1.3014,1,1.0
60882902,60882902,1,9698227.28394,0.0,1,1.0
60882903,60882902,1,7084067.60654,0.414,1,1.0
60882904,60882902,1,5113612.39843,0.822,1,1.0
60882905,60882902,1,4027648.0451,1.853,1,1.0
60882906,60882902,1,6982810.43128,0.797,1,1.0
60883001,60882902,1,950682.989361,3.5408,1,1.0
60883002,60882902,1,7094643.93143,2.662,1,1.0
60883003,60882902,1,8355080.4419,2.8568,1,1.0
60883101,60882902,1,5395701.05966,3.2998,1,1.0
60883102,60882902,1,4341729.7967,1.8316,1,1.0
60883201,60882902,1,4714955.83045,4.9922,1,1.0
60883202,60883701,1,4030931.31412,7.2358,1,0.865852
60883301,60883701,1,4740215.50292,7.5058,1,0.849652
60883401,60882902,1,2975121.69005,7.0006,1,0.879964
60883402,60883701,1,3299088.78726,6.186,1,0.92884
60883403,60883701,1,3026296.96526,4.7758,1,1.0
60883501,60883701,1,3059802.80984,4.4514,1,1.0
60883601,60883701,1,5065082.0414,3.4226,1,1.0
60883602,60883701,1,3982012.29596,5.8346,1,0.949924
60883701,60883701,1,7026407.9519,0.0,1,1.0
60883801,60883701,1,4710712.51743,4.3444,1,1.0
